EnhancementLevel,Stage,EnhancementSucess,BasicSucess,Price,
0,1,100000000 ,100000000,1,
1,1,50000000 ,100000000,1.21,
2,1,45000000 ,100000000,1.46,
3,1,40500000 ,100000000,1.77,
4,1,36450000 ,100000000,2.14,
5,1,32805000 ,100000000,2.59,
6,1,29524500 ,100000000,3.14,
7,1,26572050 ,100000000,3.8,
8,1,23914845 ,100000000,4.59,
9,1,21523361 ,100000000,5.56,
10,1,19371024 ,100000000,6.73,
11,1,17433922 ,100000000,8.14,
12,1,15690530 ,100000000,9.85,
13,1,14121477 ,100000000,11.92,
14,1,12709329 ,100000000,14.42,
15,1,11438396 ,100000000,17.45,
16,1,10294557 ,100000000,21.11,
17,1,9265101 ,100000000,25.55,
18,1,8338591 ,100000000,30.91,
19,1,7504732 ,100000000,37.4,
20,1,6754259 ,100000000,45.26,
21,1,6078833 ,100000000,54.76,
22,1,5470949 ,100000000,66.26,
23,1,4923855 ,100000000,80.18,
24,1,4431469 ,100000000,97.02,
25,1,3988322 ,100000000,117.39,
26,1,3589490 ,100000000,142.04,
27,1,3230541 ,100000000,171.87,
28,1,2907487 ,100000000,207.97,
29,1,2616738 ,100000000,251.64,
30,1,2355064 ,100000000,304.48,
31,1,2119558 ,100000000,368.42,
32,1,1907602 ,100000000,445.79,
33,1,1716842 ,100000000,539.41,
34,1,1545158 ,100000000,652.68,
35,1,1390642 ,100000000,789.75,
36,1,1251578 ,100000000,955.59,
37,1,1126420 ,100000000,1156.27,
38,1,1013778 ,100000000,1399.08,
39,1,912400 ,100000000,1692.89,
40,1,821160 ,100000000,2048.4,
