TemplateId,Stage,UpgradeName,Price,CurrentValue,NextValue,OriginalTemplateId,NextTempalteId,StatType
101000001,1,VentilationLevel1,100,1000,1010,101000001,101000002,CoalTime
101000002,1,VentilationLevel2,200,1010,1020,101000001,101000003,CoalTime
101000003,1,VentilationLevel3,300,1020,1030,101000001,101000004,CoalTime
101000004,1,VentilationLevel4,400,1030,1040,101000001,101000005,CoalTime
101000005,1,VentilationLevel5,500,1040,1050,101000001,101000006,CoalTime
101000006,1,VentilationLevel6,600,1050,1060,101000001,101000007,CoalTime
101000007,1,VentilationLevel7,700,1060,1070,101000001,101000008,CoalTime
101000008,1,VentilationLevel8,800,1070,1080,101000001,101000009,CoalTime
101000009,1,VentilationLevel9,900,1080,1090,101000001,101000010,CoalTime
101000010,1,VentilationLevel10,1000,1090,1100,101000001,101000011,CoalTime
101000011,1,VentilationLevel11,1300,1100,1110,101000001,101000012,CoalTime
101000012,1,VentilationLevel12,1600,1110,1120,101000001,101000013,CoalTime
101000013,1,VentilationLevel13,1900,1120,1130,101000001,101000014,CoalTime
101000014,1,VentilationLevel14,2200,1130,1140,101000001,101000015,CoalTime
101000015,1,VentilationLevel15,2500,1140,1150,101000001,101000016,CoalTime
101000016,1,VentilationLevel16,2800,1150,1160,101000001,101000017,CoalTime
101000017,1,VentilationLevel17,3100,1160,1170,101000001,101000018,CoalTime
101000018,1,VentilationLevel18,3400,1170,1180,101000001,101000019,CoalTime
101000019,1,VentilationLevel19,3700,1180,1190,101000001,101000020,CoalTime
101000020,1,VentilationLevel20,4000,1190,1200,101000001,101000021,CoalTime
101000021,1,VentilationLevel21,4500,1200,1210,101000001,101000022,CoalTime
101000022,1,VentilationLevel22,5000,1210,1220,101000001,101000023,CoalTime
101000023,1,VentilationLevel23,5500,1220,1230,101000001,101000024,CoalTime
101000024,1,VentilationLevel24,6000,1230,1240,101000001,101000025,CoalTime
101000025,1,VentilationLevel25,6500,1240,1250,101000001,101000026,CoalTime
101000026,1,VentilationLevel26,7000,1250,1260,101000001,101000027,CoalTime
101000027,1,VentilationLevel27,7500,1260,1270,101000001,101000028,CoalTime
101000028,1,VentilationLevel28,8000,1270,1280,101000001,101000029,CoalTime
101000029,1,VentilationLevel29,8500,1280,1290,101000001,101000030,CoalTime
101000030,1,VentilationLevel30,9000,1290,1300,101000001,101000031,CoalTime
101000031,1,VentilationLevel31,9700,1300,1310,101000001,101000032,CoalTime
101000032,1,VentilationLevel32,10400,1310,1320,101000001,101000033,CoalTime
101000033,1,VentilationLevel33,11100,1320,1330,101000001,101000034,CoalTime
101000034,1,VentilationLevel34,11800,1330,1340,101000001,101000035,CoalTime
101000035,1,VentilationLevel35,12500,1340,1350,101000001,101000036,CoalTime
101000036,1,VentilationLevel36,13200,1350,1360,101000001,101000037,CoalTime
101000037,1,VentilationLevel37,13900,1360,1370,101000001,101000038,CoalTime
101000038,1,VentilationLevel38,14600,1370,1380,101000001,101000039,CoalTime
101000039,1,VentilationLevel39,15300,1380,1390,101000001,101000040,CoalTime
101000040,1,VentilationLevel40,16000,1390,1400,101000001,101000041,CoalTime
101000041,1,VentilationLevel41,16900,1400,1410,101000001,101000042,CoalTime
101000042,1,VentilationLevel42,17800,1410,1420,101000001,101000043,CoalTime
101000043,1,VentilationLevel43,18700,1420,1430,101000001,101000044,CoalTime
