TemplateId,Stage,UpgradeName,Price,CurrentValue,NextValue,OriginalTemplateId,NextTempalteId,StatType
100001,1,AttackLevel1,100,10,20,100001,100002,Str
100002,1,AttackLevel2,200,20,30,100001,100003,Str
100003,1,AttackLevel3,300,30,40,100001,100004,Str
100004,1,AttackLevel4,400,40,50,100001,100005,Str
100005,1,AttackLevel5,500,50,60,100001,100006,Str
100006,1,AttackLevel6,600,60,80,100001,100007,Str
100007,1,AttackLevel7,700,80,100,100001,100008,Str
100008,1,AttackLevel8,800,100,120,100001,100009,Str
100009,1,AttackLevel9,900,120,140,100001,100010,Str
100010,1,AttackLevel10,1000,140,160,100001,100011,Str
100011,1,AttackLevel11,1300,160,190,100001,100012,Str
100012,1,AttackLevel12,1600,190,220,100001,100013,Str
100013,1,AttackLevel13,1900,220,250,100001,100014,Str
100014,1,AttackLevel14,2200,250,280,100001,100015,Str
100015,1,AttackLevel15,2500,280,310,100001,100016,Str
100016,1,AttackLevel16,2800,310,350,100001,100017,Str
100017,1,AttackLevel17,3100,350,390,100001,100018,Str
100018,1,AttackLevel18,3400,390,430,100001,100019,Str
100019,1,AttackLevel19,3700,430,470,100001,100020,Str
100020,1,AttackLevel20,4000,470,510,100001,100021,Str
100021,1,AttackLevel21,4500,510,560,100001,100022,Str
100022,1,AttackLevel22,5000,560,610,100001,100023,Str
100023,1,AttackLevel23,5500,610,660,100001,100024,Str
100024,1,AttackLevel24,6000,660,710,100001,100025,Str
100025,1,AttackLevel25,6500,710,760,100001,100026,Str
100026,1,AttackLevel26,7000,760,820,100001,100027,Str
100027,1,AttackLevel27,7500,820,880,100001,100028,Str
100028,1,AttackLevel28,8000,880,940,100001,100029,Str
100029,1,AttackLevel29,8500,940,1000,100001,100030,Str
100030,1,AttackLevel30,9000,1000,1060,100001,100031,Str
100031,1,AttackLevel31,9700,1060,1130,100001,100032,Str
100032,1,AttackLevel32,10400,1130,1200,100001,100033,Str
100033,1,AttackLevel33,11100,1200,1270,100001,100034,Str
100034,1,AttackLevel34,11800,1270,1340,100001,100035,Str
100035,1,AttackLevel35,12500,1340,1410,100001,100036,Str
100036,1,AttackLevel36,13200,1410,1490,100001,100037,Str
100037,1,AttackLevel37,13900,1490,1570,100001,100038,Str
100038,1,AttackLevel38,14600,1570,1650,100001,100039,Str
100039,1,AttackLevel39,15300,1650,1730,100001,100040,Str
100040,1,AttackLevel40,16000,1730,1810,100001,100041,Str
100041,1,AttackLevel41,16900,1810,1900,100001,100042,Str
100042,1,AttackLevel42,17800,1900,1990,100001,100043,Str
100043,1,AttackLevel43,18700,1990,2080,100001,100044,Str
100044,1,AttackLevel44,19600,2080,2170,100001,100045,Str
100045,1,AttackLevel45,20500,2170,2260,100001,100046,Str
100046,1,AttackLevel46,21400,2260,2360,100001,100047,Str
