DataId,KOR,ENG
GameLanguage,Eng,한
PlayerUpgradeToggle,대장장이,Player
ForgeUpgradeToggle,대장간,Forge
TownUpgradeToggle,마을,Town
ShopUpgradeToggle,상점,Shop
AddedText,추가 되었습니다,is added
WaitNextUpdate,다음 업데이트를 기다려 주세요,Please wait next update
NotEnoughFuel,연료가 부족합니다,Not enough Fuel
NotEnoughMaterial,재료가 부족합니다,Not enough Material
NotEnoughGold,골드가 부족합니다,Not enough Gold
NotEnoughResources,자원이 부족합니다,Not enough Resources
GoldMax,골드가 최대치입니다,Gold is maxed out
MaterialMax,재료가 최대치입니다,Material is maxed out
FuelMax,연료가 최대치입니다,Fuel is maxed out
ResourcesMax,자원이 가득합니다,Resources are maxed out
IncreasesAttackPower,터치시 공격력을 올립니다,Increase attack power
IncreasesProductQuality,제품의 품질을 높입니다,Increase product quality
IncreasesEnhancementSuccessRate,강화 성공확률을 높입니다,Increase enhancement success rate
ExtendsFuelUsageTime,연료 사용시간을 늘립니다,Extend fuel usage time
IncreasesMaxGoldCapacity,골드 최대 소유량을 늘립니다,Increase max gold capacity
IncreasesMaxMaterialCapacity,자원 최대 소유량을 늘립니다,Increase max material capacity
IncreasesMaterialProduction,자원 생산량을 늘립니다,Increase material production
IncreasesMaxFuelCapacity,연로 최대 소유량을 늘립니다,Increase max fuel capacity
IncreasesFuelProduction,연로 생산량을 늘립니다,Increase fuel production
IncreasesGoldBonuswhenSellingItems,판매시 받는 골드 보너스를 늘립니다,Increase gold bonus when selling items
IncreasesPurchaseAmountFromtheShop,상점 구매시 받는 구매량을 늘립니다,Increase purchase amount from the shop
UsingGold,골드를 사용해,Using gold
WatchingAds,광고를 보고,Watch ads
ToBuyGold,골드를 구매 합니다,to get gold
ToBuyMaterials,재료를 구매 합니다,to get materials
ToBuyFuel,연료를 구매 합니다,to get fuel
Tutorial1,장비를 터치 합니다,Touch the equipment
Tutorial2,모루를 터치 해 장비를 만듭니다,Touch the anvil to craft equipment
Tutorial3,공격력을 올려 봅시다,Let’s increase your attack power
Tutorial4,이제 모든 장비를 만들어 봅시다,Now let's craft all the equipment
