WeaponNumber,Stage,WeaponName,HP,Iron,Coal,Price,NextWeaponNumber,WeaponImage
1,1,Level 1-1 Dagger,60,25,5,150,2,Dagger
2,1,Level 1-2 Shortsword,80,35,7,210,3,Shortsword
3,1,Level 1-3 Scimitar,90,40,12,300,4,Scimitar
4,1,Level 1-4 Mace,100,65,5,270,5,Mace
5,1,Level 1-5 Sword,100,50,10,300,6,Sword
6,1,Level 1-6 Battleaxe,120,70,8,330,7,Battleaxe
7,1,Level 1-7 Longsword,130,60,12,360,8,Longsword
8,1,Level 1-8 Rapier,90,45,15,360,9,Rapier
9,1,Level 1-9 Warhammer,160,90,6,360,10,Warhammer
10,1,Level 1-10 Greatsword,200,90,18,540,11,Greatsword
11,1,Level 2-1 Dagger,68,28,5,159,12,Dagger
12,1,Level 2-2 Shortsword,92,40,8,240,13,Shortsword
13,1,Level 2-3 Scimitar,103,46,13,333,14,Scimitar
14,1,Level 2-4 Mace,114,74,5,297,15,Mace
15,1,Level 2-5 Sword,114,57,11,336,16,Sword
16,1,Level 2-6 Battleaxe,137,80,9,375,17,Battleaxe
17,1,Level 2-7 Longsword,149,68,13,399,18,Longsword
18,1,Level 2-8 Rapier,103,51,17,408,19,Rapier
19,1,Level 2-9 Warhammer,184,103,6,399,20,Warhammer
20,1,Level 2-10 Greatsword,229,103,20,609,21,Greatsword
21,1,Level 3-1 Dagger,79,33,6,189,22,Dagger
22,1,Level 3-2 Shortsword,105,46,9,273,23,Shortsword
23,1,Level 3-3 Scimitar,119,52,15,381,24,Scimitar
24,1,Level 3-4 Mace,132,85,6,345,25,Mace
25,1,Level 3-5 Sword,132,66,13,393,26,Sword
26,1,Level 3-6 Battleaxe,158,92,10,426,27,Battleaxe
27,1,Level 3-7 Longsword,171,79,15,462,28,Longsword
28,1,Level 3-8 Rapier,119,59,19,462,29,Rapier
29,1,Level 3-9 Warhammer,211,119,7,462,30,Warhammer
30,1,Level 3-10 Greatsword,264,119,23,702,31,Greatsword
31,1,Level 4-1 Dagger,91,38,7,219,32,Dagger
32,1,Level 4-2 Shortsword,121,53,10,309,33,Shortsword
33,1,Level 4-3 Scimitar,136,60,18,450,34,Scimitar
